case_id,parameter_region,spatial_region,e1,e2,e3,t1,t2,t3,mae_pct,max_pct,n_points
supervised_param_extreme,supervised_parameter_grid,bottom_unsupervised_spatial,1,10,10,0.1,0.02,0.02,8.705967,66.642689,121
supervised_param_extreme,supervised_parameter_grid,interior_unsupervised_spatial,1,10,10,0.1,0.02,0.02,6.028020,62.636146,363
supervised_param_extreme,supervised_parameter_grid,interface_sparse_focus,1,10,10,0.1,0.02,0.02,3.883080,58.545797,242
supervised_param_extreme,supervised_parameter_grid,top_surface_sparse_focus,1,10,10,0.1,0.02,0.02,4.401969,49.937588,121
random_interior_000,unsupervised_random_parameter,bottom_unsupervised_spatial,7.4620459,5.4694568,9.2977577,0.054781324,0.031180696,0.028459079,5.298539,42.900304,121
random_interior_000,unsupervised_random_parameter,interior_unsupervised_spatial,7.4620459,5.4694568,9.2977577,0.054781324,0.031180696,0.028459079,3.285195,39.100341,363
random_interior_000,unsupervised_random_parameter,interface_sparse_focus,7.4620459,5.4694568,9.2977577,0.054781324,0.031180696,0.028459079,2.678730,30.806370,242
random_interior_000,unsupervised_random_parameter,top_surface_sparse_focus,7.4620459,5.4694568,9.2977577,0.054781324,0.031180696,0.028459079,3.871637,17.063013,121
