case_id,e1,e2,e3,t1,t2,t3,top_uz_mae_pct,top_uz_relative_l2_pct,top_uz_mean_abs_error,top_uz_max_pct,volume_mae_pct,volume_relative_l2_pct,volume_mean_abs_error,volume_max_pct,avg_uz_fem,avg_uz_pinn,avg_displacement_relative_error_pct,peak_fem_uz,peak_pinn_uz,fem_seconds,pinn_eval_seconds,n_eval_points
random_interior_000,7.4620459,5.4694568,9.2977577,0.054781324,0.031180696,0.028459079,8.847866,47.162052,0.01798988916,50.172424,3.990987,48.444463,0.008126416262,50.994847,-0.0390299669,-0.02096216456,46.365550,-0.2033246199,-0.1013117286,0.021129,0.067293,405
random_interior_001,9.5052632,1.1798721,6.405578,0.028544164,0.079550404,0.097320444,5.249794,24.469074,0.005675653309,16.927703,2.528500,27.848151,0.002733609894,18.001844,-0.01873737291,-0.01283519861,31.500141,-0.1081119317,-0.08981106517,0.014143,0.003865,405
random_interior_002,9.9433669,9.6923191,6.1371334,0.023497516,0.094881954,0.041952371,5.860693,26.540657,0.005393451023,20.748077,2.592328,26.687144,0.002385655238,21.389743,-0.01691653652,-0.01173511494,30.635307,-0.09202752309,-0.07293358184,0.013179,0.002787,405
random_interior_003,7.9637246,1.0839748,6.6350373,0.049491284,0.056307823,0.087489431,11.032711,59.605358,0.01365129929,60.158363,4.571021,62.161815,0.005655941809,61.058642,-0.02197942436,-0.008014145879,63.543107,-0.1237347624,-0.04929795477,0.013962,0.002292,405
random_interior_004,1.9547378,4.6461966,7.9831317,0.067453815,0.08645244,0.054263187,10.561303,55.911461,0.01129177053,56.298779,4.760660,56.539799,0.005089928666,57.605024,-0.01929125813,-0.008062885172,58.218130,-0.106916448,-0.04672379356,0.018382,0.003774,405
random_interior_005,5.6452648,1.4260951,7.098887,0.095134378,0.076883016,0.081551066,8.122296,47.812934,0.00743517604,47.567454,3.311096,48.599131,0.003030988428,48.387841,-0.01393609473,-0.006704757156,51.895261,-0.09154032817,-0.04799692444,0.029489,0.003644,405
random_interior_006,7.9074277,7.9551409,2.9296669,0.032315555,0.044214112,0.047767235,10.801302,56.260978,0.02924214464,58.013477,4.798044,58.094760,0.01298964664,58.437068,-0.05126748721,-0.02168077182,57.718019,-0.2707279707,-0.1136692606,0.013907,0.002356,405
random_interior_007,5.3672985,9.9661356,5.089864,0.020662307,0.052478186,0.097581473,3.954662,22.663090,0.003899109355,23.283054,1.766610,20.357748,0.001741793889,23.283054,-0.01757702973,-0.01713118213,2.623134,-0.09859526095,-0.121551249,0.024607,0.002971,405
