repeat,case_id,n_eval_points,fem_seconds,pinn_eval_seconds,speedup_fem_over_pinn_eval,top_uz_mae_pct,volume_mae_pct
0,one_layer_mid,605,0.049668,0.001550,32.035878,3.015602,1.775833
0,one_layer_random_like,605,0.046970,0.000843,55.684253,4.046563,2.045270
1,one_layer_mid,605,0.039828,0.000720,55.303375,3.015602,1.775833
1,one_layer_random_like,605,0.042282,0.000713,59.301836,4.046563,2.045270
2,one_layer_mid,605,0.039699,0.000778,51.051010,3.015602,1.775833
2,one_layer_random_like,605,0.042126,0.000708,59.495941,4.046563,2.045270
