case_id,E,thickness,top_uz_mae_pct,top_uz_max_pct,volume_mae_pct,volume_max_pct,peak_fem_uz,peak_pinn_uz,fem_seconds,pinn_eval_seconds,n_eval_points
one_layer_random_000,7.4620459,0.099660631,5.110830,22.989902,2.123746,22.958988,-0.3141682723,-0.3777907774,0.026267,0.140681,405
one_layer_random_001,9.2977577,0.093476655,5.966490,25.836103,2.379404,25.778295,-0.2882866131,-0.3581603564,0.012598,0.001623,405
one_layer_random_002,2.2578283,0.060573849,14.792852,60.116535,5.347973,59.930775,-2.801063104,-4.484965189,0.011673,0.001745,405
one_layer_random_003,9.5052632,0.051998579,23.800950,104.395662,8.236946,104.115476,-0.8732845604,-1.784955755,0.023337,0.001783,405
one_layer_random_004,6.405578,0.060680205,16.217169,65.558416,5.753261,65.355532,-0.9841317462,-1.629312928,0.022645,0.003714,405
one_layer_random_005,7.6994205,0.14665056,3.736578,13.952144,1.923358,13.952144,-0.1364795875,-0.1421392982,0.012340,0.001712,405
one_layer_random_006,9.9433669,0.14658132,4.011308,15.120903,2.004257,15.120903,-0.1057797294,-0.1114457453,0.022083,0.002652,405
one_layer_random_007,6.1371334,0.054371895,21.155499,90.612025,7.350894,90.361178,-1.251500094,-2.385509672,0.011926,0.001601,405
