repeat,case_id,n_eval_points,fem_seconds,pinn_eval_seconds,speedup_fem_over_pinn_eval,top_uz_mae_pct,volume_mae_pct
0,supervised_extreme,605,0.050353,0.004418,11.397523,9.535722,5.597028
0,mixed_midrange,605,0.088152,0.001310,67.270508,3.730997,3.906498
1,supervised_extreme,605,0.044590,0.001134,39.326341,9.535722,5.597028
1,mixed_midrange,605,0.068561,0.001141,60.075721,3.730997,3.906498
2,supervised_extreme,605,0.041990,0.001082,38.793933,9.535722,5.597028
2,mixed_midrange,605,0.068537,0.001196,57.326788,3.730997,3.906498
