ne_x,ne_y,ne_z,h,n_elements,peak_uz,avg_uz,top_avg_uz,top_mean_abs_uz,rms_uz,peak_rel_err,avg_rel_err,top_avg_rel_err,rms_rel_err
4,4,2,0.25,32,-0.07146137726884094,-0.010164767296624994,-0.010235094089001341,0.010235094089001341,0.01932921274887951,0.41619604907122154,0.6398195242090597,0.639041671597872,0.5453953447901232
8,8,4,0.125,256,-0.10215922315227628,-0.01933656494257939,-0.019425369708736668,0.019425369708736668,0.031914995314100136,0.1654098986122022,0.3148241412773774,0.3149306769740627,0.24938973825344335
16,16,8,0.0625,2048,-0.1173706381530367,-0.025321065958525627,-0.02543395097285725,0.02543395097285725,0.039378691768614686,0.04114019494762782,0.10276808919140669,0.10302764703553383,0.07385071359800531
32,32,16,0.03125,16384,-0.1224064639424801,-0.028221316756005768,-0.028355334352055356,0.028355334352055356,0.0425187303459438,0.0,0.0,0.0,0.0
