ne_x,ne_y,ne_z,h,n_elements,peak_uz,avg_uz,top_avg_uz,top_mean_abs_uz,rms_uz,peak_rel_err,avg_rel_err,top_avg_rel_err,rms_rel_err
4,4,2,0.25,32,-0.29318051079961716,-0.044367616520892814,-0.04438233519824885,0.04438233519824885,0.0840384813049289,0.8468055219666448,0.9000396806554826,0.9000065599178897,0.8766543762593022
8,8,4,0.125,256,-0.7926928615377827,-0.15402827116492382,-0.15401877532704755,0.15401877532704755,0.25819357968959367,0.5857972658794965,0.6529740296849313,0.6529955642624052,0.6210420793171966
16,16,8,0.0625,2048,-1.4890148675895114,-0.32370766513889443,-0.32368745494255924,0.32368745494255924,0.5129975516624109,0.22195082203063546,0.27068605169911364,0.2707318804530452,0.24705918045261296
32,32,16,0.03125,16384,-1.9137798866078115,-0.4438522887064616,-0.44385246833996317,0.44385682067862603,0.6813251962760998,0.0,0.0,0.0,0.0
