L-BFGS Step 11: Total Loss: 1.928145e+02 | PDE: 6.508648e-02 | BC_sides: 1.779261e-03 | Free_top: 3.172291e-02 | Free_bot: 2.033069e-02 | Load: 1.130809e-01 | Energy: -3.557824e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 6.200868e-04 | ImpactInv: 0.000000e+00 | FEM MAE: 2.850827e-01 | Time: 0.5106s
L-BFGS Step 12: Total Loss: 1.927118e+02 | PDE: 7.048544e-02 | BC_sides: 1.783877e-03 | Free_top: 3.307779e-02 | Free_bot: 2.059721e-02 | Load: 1.124010e-01 | Energy: -3.565995e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 6.498205e-04 | ImpactInv: 0.000000e+00 | FEM MAE: 2.853277e-01 | Time: 0.5121s
L-BFGS Step 13: Total Loss: 1.926183e+02 | PDE: 7.722101e-02 | BC_sides: 1.783589e-03 | Free_top: 3.583043e-02 | Free_bot: 2.156171e-02 | Load: 1.116251e-01 | Energy: -3.575042e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 6.876411e-04 | ImpactInv: 0.000000e+00 | FEM MAE: 2.854300e-01 | Time: 0.5161s
L-BFGS Step 14: Total Loss: 1.925061e+02 | PDE: 9.192917e-02 | BC_sides: 1.774217e-03 | Free_top: 3.985612e-02 | Free_bot: 2.258428e-02 | Load: 1.106226e-01 | Energy: -3.579019e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 7.330330e-04 | ImpactInv: 0.000000e+00 | FEM MAE: 2.853532e-01 | Time: 0.5126s
L-BFGS Step 15: Total Loss: 1.923391e+02 | PDE: 1.105178e-01 | BC_sides: 1.759348e-03 | Free_top: 4.543702e-02 | Free_bot: 2.450121e-02 | Load: 1.099348e-01 | Energy: -3.576215e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 7.754456e-04 | ImpactInv: 0.000000e+00 | FEM MAE: 2.851450e-01 | Time: 0.5530s
L-BFGS Step 16: Total Loss: 1.921549e+02 | PDE: 1.328561e-01 | BC_sides: 1.738296e-03 | Free_top: 5.032953e-02 | Free_bot: 2.643546e-02 | Load: 1.091566e-01 | Energy: -3.559924e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 8.400783e-04 | ImpactInv: 0.000000e+00 | FEM MAE: 2.847948e-01 | Time: 0.5227s
L-BFGS Step 17: Total Loss: 1.919205e+02 | PDE: 1.579851e-01 | BC_sides: 1.710857e-03 | Free_top: 5.388975e-02 | Free_bot: 2.869222e-02 | Load: 1.079663e-01 | Energy: -3.526738e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 9.709342e-04 | ImpactInv: 0.000000e+00 | FEM MAE: 2.842898e-01 | Time: 0.5134s
L-BFGS Step 18: Total Loss: 1.916506e+02 | PDE: 1.714854e-01 | BC_sides: 1.687406e-03 | Free_top: 5.161225e-02 | Free_bot: 2.969614e-02 | Load: 1.060708e-01 | Energy: -3.485844e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.143492e-03 | ImpactInv: 0.000000e+00 | FEM MAE: 2.837839e-01 | Time: 0.5137s
L-BFGS Step 19: Total Loss: 1.913600e+02 | PDE: 2.372214e-01 | BC_sides: 1.647894e-03 | Free_top: 4.862716e-02 | Free_bot: 3.405698e-02 | Load: 1.039575e-01 | Energy: -3.432279e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.210511e-03 | ImpactInv: 0.000000e+00 | FEM MAE: 2.829420e-01 | Time: 0.5132s
L-BFGS Step 20: Total Loss: 1.910990e+02 | PDE: 1.971854e-01 | BC_sides: 1.663258e-03 | Free_top: 4.424798e-02 | Free_bot: 3.176226e-02 | Load: 1.047231e-01 | Energy: -3.439441e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.210925e-03 | ImpactInv: 0.000000e+00 | FEM MAE: 2.832876e-01 | Time: 0.5241s
