stage,step,total,pde,bc_sides,free_top,free_bot,load,energy,impact_invariance,impact_contact,friction_coulomb,friction_stick,interface_u,data
adam,0,22618.0234375,711.7855224609375,0.00041406284435652196,8.608118057250977,7.12526273727417,8.907660484313965,0.2801150977611542,0.0,0.0,0.0,0.0,2.755915880203247,0.9548807144165039
adam,1,22618.0234375,711.7855224609375,0.00041406284435652196,8.608118057250977,7.12526273727417,8.907660484313965,0.2801150977611542,0.0,0.0,0.0,0.0,2.755915880203247,0.9548807144165039
adam,2,21274.359375,667.9046020507812,0.00041159780812449753,7.614694118499756,6.464482307434082,7.833969593048096,0.2741010785102844,0.0,0.0,0.0,0.0,2.6939103603363037,0.9496231079101562
adam,3,19864.2578125,623.171875,0.00039529180503450334,6.945852279663086,5.537115097045898,7.114421367645264,0.2545873522758484,0.0,0.0,0.0,0.0,2.492112636566162,0.9424974918365479
adam,4,18423.98046875,577.0128173828125,0.000383199832867831,6.462296962738037,5.128840446472168,6.588740825653076,0.2395610809326172,0.0,0.0,0.0,0.0,2.330268144607544,0.9332700967788696
adam,5,16920.521484375,528.5236206054688,0.00037293456261977553,5.936204433441162,4.758313179016113,6.0189528465271,0.22560445964336395,0.0,0.0,0.0,0.0,2.1911747455596924,0.9243422746658325
adam,6,15367.1474609375,478.46917724609375,0.0003623174852691591,5.327221393585205,4.266583442687988,5.363584995269775,0.210398867726326,0.0,0.0,0.0,0.0,2.0435125827789307,0.9158783555030823
adam,7,13760.7353515625,426.9007568359375,0.00035130578908137977,4.6374030113220215,3.691439390182495,4.6264495849609375,0.19350376725196838,0.0,0.0,0.0,0.0,1.8726962804794312,0.9070513248443604
adam,8,12110.3662109375,374.08404541015625,0.00034026018693111837,3.8900938034057617,3.0887415409088135,3.8348286151885986,0.17533527314662933,0.0,0.0,0.0,0.0,1.6825698614120483,0.8972638845443726
adam,9,10444.3291015625,320.87200927734375,0.0003294161579106003,3.1161601543426514,2.490449905395508,3.0249271392822266,0.15634483098983765,0.0,0.0,0.0,0.0,1.4814618825912476,0.8864542841911316
adam,10,8802.541015625,268.5188903808594,0.00031908959499560297,2.353372573852539,1.9152626991271973,2.240830421447754,0.1369551718235016,0.0,0.0,0.0,0.0,1.2761478424072266,0.8746289014816284
adam,11,7235.07568359375,218.63595581054688,0.0003097568987868726,1.6393463611602783,1.390608549118042,1.5270531177520752,0.11754331737756729,0.0,0.0,0.0,0.0,1.0716215372085571,0.8617004752159119
adam,12,6309.53955078125,188.9595184326172,0.00030709104612469673,1.2719504833221436,1.1220296621322632,1.1822901964187622,0.10833058506250381,0.0,0.0,0.0,0.0,0.9713326096534729,0.8542450666427612
adam,13,5492.76123046875,162.9042205810547,0.00030386538128368556,0.9771826267242432,0.9012356400489807,0.9145245552062988,0.0986456423997879,0.0,0.0,0.0,0.0,0.8693621158599854,0.8471906781196594
adam,14,4757.541015625,139.52877807617188,0.0003010801156051457,0.7371614575386047,0.7239660620689392,0.7065823674201965,0.08902065455913544,0.0,0.0,0.0,0.0,0.7693991661071777,0.8406158685684204
adam,15,4093.047119140625,118.45895385742188,0.0002989802451338619,0.5477644205093384,0.5902377963066101,0.5545390844345093,0.07961680740118027,0.0,0.0,0.0,0.0,0.6728494167327881,0.8345102667808533
adam,16,3494.140380859375,99.50926208496094,0.00029772083507850766,0.4061048924922943,0.4988440275192261,0.4552660584449768,0.07057428359985352,0.0,0.0,0.0,0.0,0.5812232494354248,0.8288533091545105
adam,17,2958.303466796875,82.58238983154297,0.00029740159516222775,0.3089578151702881,0.4470219314098358,0.4047100841999054,0.062019068747758865,0.0,0.0,0.0,0.0,0.49592432379722595,0.8236562609672546
adam,18,2484.461181640625,67.6310043334961,0.0002981085854116827,0.2518008053302765,0.4306284189224243,0.39704275131225586,0.05406566336750984,0.0,0.0,0.0,0.0,0.4181588590145111,0.8189646601676941
adam,19,2072.75830078125,54.65118408203125,0.0002999241405632347,0.22859297692775726,0.44447898864746094,0.4246733784675598,0.04681655392050743,0.0,0.0,0.0,0.0,0.3488720655441284,0.8148416876792908
adam,20,1724.4920654296875,43.680145263671875,0.00030291377333924174,0.2323007732629776,0.4829939007759094,0.4790147542953491,0.04036169871687889,0.0,0.0,0.0,0.0,0.2887648046016693,0.8113424181938171
adam,21,1441.7080078125,34.78251647949219,0.00030712378793396056,0.2556881606578827,0.5406350493431091,0.5514330863952637,0.03477960452437401,0.0,0.0,0.0,0.0,0.2383333295583725,0.8084896206855774
adam,22,1280.299560546875,29.727567672729492,0.00030834870995022357,0.29788967967033386,0.6260026693344116,0.6479461789131165,0.03121366538107395,0.0,0.0,0.0,0.0,0.2068389505147934,0.8062861561775208
adam,23,1165.18115234375,26.153276443481445,0.0003101806796621531,0.3483060598373413,0.7232779860496521,0.7463398575782776,0.0281839556992054,0.0,0.0,0.0,0.0,0.18124765157699585,0.8042721152305603
adam,24,1086.204345703125,23.732742309570312,0.00031284542637877166,0.3982097804546356,0.817646324634552,0.835970938205719,0.02564835734665394,0.0,0.0,0.0,0.0,0.16100338101387024,0.8021842837333679
adam,25,1035.1650390625,22.198894500732422,0.0003163664077874273,0.44196125864982605,0.8973016142845154,0.9108110070228577,0.023592982441186905,0.0,0.0,0.0,0.0,0.14576497673988342,0.7999050617218018
adam,26,1006.03857421875,21.355731964111328,0.00032062054378911853,0.4762856364250183,0.9554527997970581,0.9677956104278564,0.021996716037392616,0.0,0.0,0.0,0.0,0.13513028621673584,0.7974308133125305
adam,27,994.5665283203125,21.066314697265625,0.0003254324255976826,0.49960196018218994,0.9896847009658813,1.005849838256836,0.020823920145630836,0.0,0.0,0.0,0.0,0.12858688831329346,0.7947899699211121
adam,28,997.397705078125,21.22473907470703,0.00033058811095543206,0.5116075277328491,1.001096487045288,1.0254442691802979,0.020023951306939125,0.0,0.0,0.0,0.0,0.1255100518465042,0.7920087575912476
adam,29,1010.9671020507812,21.71923828125,0.00033581978641450405,0.5130267143249512,0.9934675097465515,1.0283899307250977,0.01953013427555561,0.0,0.0,0.0,0.0,0.12513411045074463,0.7891015410423279
adam,30,1030.6236572265625,22.403274536132812,0.000340829516062513,0.5054063200950623,0.972209632396698,1.0176459550857544,0.01926172524690628,0.0,0.0,0.0,0.0,0.12654460966587067,0.7860676050186157
adam,31,1050.619140625,23.09479522705078,0.00034534765291027725,0.49083954095840454,0.9430259466171265,0.9969479441642761,0.0191290732473135,0.0,0.0,0.0,0.0,0.1287376582622528,0.7828832268714905
adam,32,1082.016845703125,24.16875457763672,0.00034889750531874597,0.4851471185684204,0.9380693435668945,0.9911921620368958,0.01890050806105137,0.0,0.0,0.0,0.0,0.1303020417690277,0.7797479033470154
