L-BFGS Step 11: Total Loss: 3.994058e-01 | PDE: 2.039392e-03 | BC_sides: 5.441114e-05 | Free_top: 6.542538e-03 | Free_bot: 1.403836e-02 | Load: 1.437029e-02 | Energy: -2.414605e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.487177e-04 | ImpactInv: 0.000000e+00 | Time: 0.7934s
L-BFGS Step 12: Total Loss: 3.993580e-01 | PDE: 2.043379e-03 | BC_sides: 5.440791e-05 | Free_top: 6.543606e-03 | Free_bot: 1.403272e-02 | Load: 1.435742e-02 | Energy: -2.414088e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.486027e-04 | ImpactInv: 0.000000e+00 | Time: 0.5376s
L-BFGS Step 13: Total Loss: 3.993018e-01 | PDE: 2.046417e-03 | BC_sides: 5.440316e-05 | Free_top: 6.542778e-03 | Free_bot: 1.402070e-02 | Load: 1.434751e-02 | Energy: -2.413664e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.485048e-04 | ImpactInv: 0.000000e+00 | Time: 0.5463s
L-BFGS Step 14: Total Loss: 3.992516e-01 | PDE: 2.050484e-03 | BC_sides: 5.439449e-05 | Free_top: 6.546595e-03 | Free_bot: 1.401242e-02 | Load: 1.433116e-02 | Energy: -2.413025e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.485140e-04 | ImpactInv: 0.000000e+00 | Time: 0.5278s
L-BFGS Step 15: Total Loss: 3.992075e-01 | PDE: 2.068690e-03 | BC_sides: 5.428270e-05 | Free_top: 6.547811e-03 | Free_bot: 1.397252e-02 | Load: 1.430240e-02 | Energy: -2.410317e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.481346e-04 | ImpactInv: 0.000000e+00 | Time: 0.5289s
L-BFGS Step 16: Total Loss: 3.991939e-01 | PDE: 2.064866e-03 | BC_sides: 5.431567e-05 | Free_top: 6.555223e-03 | Free_bot: 1.398385e-02 | Load: 1.429011e-02 | Energy: -2.410537e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.484242e-04 | ImpactInv: 0.000000e+00 | Time: 0.5377s
L-BFGS Step 17: Total Loss: 3.991162e-01 | PDE: 2.064477e-03 | BC_sides: 5.430755e-05 | Free_top: 6.557955e-03 | Free_bot: 1.398576e-02 | Load: 1.428315e-02 | Energy: -2.410248e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.484886e-04 | ImpactInv: 0.000000e+00 | Time: 0.5290s
L-BFGS Step 18: Total Loss: 3.990883e-01 | PDE: 2.069898e-03 | BC_sides: 5.427177e-05 | Free_top: 6.561476e-03 | Free_bot: 1.397942e-02 | Load: 1.426131e-02 | Energy: -2.408977e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.485170e-04 | ImpactInv: 0.000000e+00 | Time: 0.5311s
L-BFGS Step 19: Total Loss: 3.990270e-01 | PDE: 2.081873e-03 | BC_sides: 5.425947e-05 | Free_top: 6.561380e-03 | Free_bot: 1.396577e-02 | Load: 1.422688e-02 | Energy: -2.407059e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.484564e-04 | ImpactInv: 0.000000e+00 | Time: 0.5306s
L-BFGS Step 20: Total Loss: 3.989341e-01 | PDE: 2.106366e-03 | BC_sides: 5.430317e-05 | Free_top: 6.561206e-03 | Free_bot: 1.397579e-02 | Load: 1.416491e-02 | Energy: -2.404112e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.481720e-04 | ImpactInv: 0.000000e+00 | Time: 0.5313s
L-BFGS Step 21: Total Loss: 3.987745e-01 | PDE: 2.117093e-03 | BC_sides: 5.423294e-05 | Free_top: 6.555210e-03 | Free_bot: 1.397454e-02 | Load: 1.413806e-02 | Energy: -2.402174e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.481453e-04 | ImpactInv: 0.000000e+00 | Time: 0.7996s
L-BFGS Step 22: Total Loss: 3.987204e-01 | PDE: 2.140766e-03 | BC_sides: 5.423373e-05 | Free_top: 6.551183e-03 | Free_bot: 1.399643e-02 | Load: 1.409411e-02 | Energy: -2.399893e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.477544e-04 | ImpactInv: 0.000000e+00 | Time: 0.5379s
L-BFGS Step 23: Total Loss: 3.986210e-01 | PDE: 2.145534e-03 | BC_sides: 5.423154e-05 | Free_top: 6.550612e-03 | Free_bot: 1.402403e-02 | Load: 1.408271e-02 | Energy: -2.399440e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.476157e-04 | ImpactInv: 0.000000e+00 | Time: 0.5327s
L-BFGS Step 24: Total Loss: 3.985816e-01 | PDE: 2.148679e-03 | BC_sides: 5.420984e-05 | Free_top: 6.548690e-03 | Free_bot: 1.404861e-02 | Load: 1.407540e-02 | Energy: -2.399121e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.475142e-04 | ImpactInv: 0.000000e+00 | Time: 0.5330s
L-BFGS Step 25: Total Loss: 3.985461e-01 | PDE: 2.151411e-03 | BC_sides: 5.416737e-05 | Free_top: 6.547352e-03 | Free_bot: 1.407865e-02 | Load: 1.406072e-02 | Energy: -2.398409e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.475451e-04 | ImpactInv: 0.000000e+00 | Time: 0.5334s
L-BFGS Step 26: Total Loss: 3.984978e-01 | PDE: 2.161920e-03 | BC_sides: 5.411241e-05 | Free_top: 6.539653e-03 | Free_bot: 1.410199e-02 | Load: 1.403604e-02 | Energy: -2.397130e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.475026e-04 | ImpactInv: 0.000000e+00 | Time: 0.5338s
L-BFGS Step 27: Total Loss: 3.984347e-01 | PDE: 2.171390e-03 | BC_sides: 5.411290e-05 | Free_top: 6.534262e-03 | Free_bot: 1.409915e-02 | Load: 1.401318e-02 | Energy: -2.395960e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.474986e-04 | ImpactInv: 0.000000e+00 | Time: 0.5344s
L-BFGS Step 28: Total Loss: 3.983751e-01 | PDE: 2.181179e-03 | BC_sides: 5.410123e-05 | Free_top: 6.527219e-03 | Free_bot: 1.407907e-02 | Load: 1.398725e-02 | Energy: -2.394610e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.475634e-04 | ImpactInv: 0.000000e+00 | Time: 0.5364s
L-BFGS Step 29: Total Loss: 3.983095e-01 | PDE: 2.193996e-03 | BC_sides: 5.415116e-05 | Free_top: 6.514546e-03 | Free_bot: 1.404614e-02 | Load: 1.396019e-02 | Energy: -2.393675e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.475410e-04 | ImpactInv: 0.000000e+00 | Time: 0.5363s
