stage,step,total,pde,bc_sides,free_top,free_bot,load,energy,impact_invariance,impact_contact,friction_coulomb,friction_stick,interface_u,data,fem_mae,fem_max_err
lbfgs,0,0.032571859657764435,0.00238517252728343,0.004438862204551697,0.02920558676123619,0.03524889051914215,0.0017591748619452119,-0.057771388441324234,0.0,0.1031050980091095,4.634317883756012e-05,0.00018208762048743665,0.0,0.0,0.0,0.0
lbfgs,1,0.032571859657764435,0.00238517252728343,0.004438862204551697,0.02920558676123619,0.03524889051914215,0.0017591748619452119,-0.057771388441324234,0.0,0.1031050980091095,4.634317883756012e-05,0.00018208762048743665,0.0,0.0,0.0,0.0
lbfgs,2,0.032571859657764435,0.00238517252728343,0.004438862204551697,0.02920558676123619,0.03524889051914215,0.0017591748619452119,-0.057771388441324234,0.0,0.1031050980091095,4.634317883756012e-05,0.00018208762048743665,0.0,0.0,0.0,0.0
lbfgs,3,0.032571859657764435,0.00238517252728343,0.004438862204551697,0.02920558676123619,0.03524889051914215,0.0017591748619452119,-0.057771388441324234,0.0,0.1031050980091095,4.634317883756012e-05,0.00018208762048743665,0.0,0.0,0.0,0.0
lbfgs,4,0.032571859657764435,0.00238517252728343,0.004438862204551697,0.02920558676123619,0.03524889051914215,0.0017591748619452119,-0.057771388441324234,0.0,0.1031050980091095,4.634317883756012e-05,0.00018208762048743665,0.0,0.0,0.0,0.0
lbfgs,5,0.032571859657764435,0.00238517252728343,0.004438862204551697,0.02920558676123619,0.03524889051914215,0.0017591748619452119,-0.057771388441324234,0.0,0.1031050980091095,4.634317883756012e-05,0.00018208762048743665,0.0,0.0,0.0,0.0
lbfgs,6,0.032571859657764435,0.00238517252728343,0.004438862204551697,0.02920558676123619,0.03524889051914215,0.0017591748619452119,-0.057771388441324234,0.0,0.1031050980091095,4.634317883756012e-05,0.00018208762048743665,0.0,0.0,0.0,0.0
lbfgs,7,0.032571859657764435,0.00238517252728343,0.004438862204551697,0.02920558676123619,0.03524889051914215,0.0017591748619452119,-0.057771388441324234,0.0,0.1031050980091095,4.634317883756012e-05,0.00018208762048743665,0.0,0.0,0.0,0.0
lbfgs,8,0.032571859657764435,0.00238517252728343,0.004438862204551697,0.02920558676123619,0.03524889051914215,0.0017591748619452119,-0.057771388441324234,0.0,0.1031050980091095,4.634317883756012e-05,0.00018208762048743665,0.0,0.0,0.0,0.0
lbfgs,9,0.032571859657764435,0.00238517252728343,0.004438862204551697,0.02920558676123619,0.03524889051914215,0.0017591748619452119,-0.057771388441324234,0.0,0.1031050980091095,4.634317883756012e-05,0.00018208762048743665,0.0,0.0,0.0,0.0
lbfgs,10,0.032571859657764435,0.00238517252728343,0.004438862204551697,0.02920558676123619,0.03524889051914215,0.0017591748619452119,-0.057771388441324234,0.0,0.1031050980091095,4.634317883756012e-05,0.00018208762048743665,0.0,0.0,0.0,0.0
lbfgs,11,0.032571859657764435,0.00238517252728343,0.004438862204551697,0.02920558676123619,0.03524889051914215,0.0017591748619452119,-0.057771388441324234,0.0,0.1031050980091095,4.634317883756012e-05,0.00018208762048743665,0.0,0.0,0.0,0.0
lbfgs,12,0.032571859657764435,0.00238517252728343,0.004438862204551697,0.02920558676123619,0.03524889051914215,0.0017591748619452119,-0.057771388441324234,0.0,0.1031050980091095,4.634317883756012e-05,0.00018208762048743665,0.0,0.0,0.0,0.0
lbfgs,13,0.032571859657764435,0.00238517252728343,0.004438862204551697,0.02920558676123619,0.03524889051914215,0.0017591748619452119,-0.057771388441324234,0.0,0.1031050980091095,4.634317883756012e-05,0.00018208762048743665,0.0,0.0,0.0,0.0
lbfgs,14,0.032571859657764435,0.00238517252728343,0.004438862204551697,0.02920558676123619,0.03524889051914215,0.0017591748619452119,-0.057771388441324234,0.0,0.1031050980091095,4.634317883756012e-05,0.00018208762048743665,0.0,0.0,0.0,0.0
lbfgs,15,0.032571859657764435,0.00238517252728343,0.004438862204551697,0.02920558676123619,0.03524889051914215,0.0017591748619452119,-0.057771388441324234,0.0,0.1031050980091095,4.634317883756012e-05,0.00018208762048743665,0.0,0.0,0.0,0.0
lbfgs,16,0.032571859657764435,0.00238517252728343,0.004438862204551697,0.02920558676123619,0.03524889051914215,0.0017591748619452119,-0.057771388441324234,0.0,0.1031050980091095,4.634317883756012e-05,0.00018208762048743665,0.0,0.0,0.0,0.0
lbfgs,17,0.032571859657764435,0.00238517252728343,0.004438862204551697,0.02920558676123619,0.03524889051914215,0.0017591748619452119,-0.057771388441324234,0.0,0.1031050980091095,4.634317883756012e-05,0.00018208762048743665,0.0,0.0,0.0,0.0
lbfgs,18,0.032571859657764435,0.00238517252728343,0.004438862204551697,0.02920558676123619,0.03524889051914215,0.0017591748619452119,-0.057771388441324234,0.0,0.1031050980091095,4.634317883756012e-05,0.00018208762048743665,0.0,0.0,0.0,0.0
lbfgs,19,0.032571859657764435,0.00238517252728343,0.004438862204551697,0.02920558676123619,0.03524889051914215,0.0017591748619452119,-0.057771388441324234,0.0,0.1031050980091095,4.634317883756012e-05,0.00018208762048743665,0.0,0.0,0.0,0.0
lbfgs,20,0.032571859657764435,0.00238517252728343,0.004438862204551697,0.02920558676123619,0.03524889051914215,0.0017591748619452119,-0.057771388441324234,0.0,0.1031050980091095,4.634317883756012e-05,0.00018208762048743665,0.0,0.0,0.0,0.0
lbfgs,21,0.032571859657764435,0.00238517252728343,0.004438862204551697,0.02920558676123619,0.03524889051914215,0.0017591748619452119,-0.057771388441324234,0.0,0.1031050980091095,4.634317883756012e-05,0.00018208762048743665,0.0,0.0,0.0,0.0
lbfgs,22,0.032571859657764435,0.00238517252728343,0.004438862204551697,0.02920558676123619,0.03524889051914215,0.0017591748619452119,-0.057771388441324234,0.0,0.1031050980091095,4.634317883756012e-05,0.00018208762048743665,0.0,0.0,0.0,0.0
lbfgs,23,0.032571859657764435,0.00238517252728343,0.004438862204551697,0.02920558676123619,0.03524889051914215,0.0017591748619452119,-0.057771388441324234,0.0,0.1031050980091095,4.634317883756012e-05,0.00018208762048743665,0.0,0.0,0.0,0.0
lbfgs,24,0.032571859657764435,0.00238517252728343,0.004438862204551697,0.02920558676123619,0.03524889051914215,0.0017591748619452119,-0.057771388441324234,0.0,0.1031050980091095,4.634317883756012e-05,0.00018208762048743665,0.0,0.0,0.0,0.0
lbfgs,25,0.032571859657764435,0.00238517252728343,0.004438862204551697,0.02920558676123619,0.03524889051914215,0.0017591748619452119,-0.057771388441324234,0.0,0.1031050980091095,4.634317883756012e-05,0.00018208762048743665,0.0,0.0,0.0,0.0
lbfgs,26,0.032571859657764435,0.00238517252728343,0.004438862204551697,0.02920558676123619,0.03524889051914215,0.0017591748619452119,-0.057771388441324234,0.0,0.1031050980091095,4.634317883756012e-05,0.00018208762048743665,0.0,0.0,0.0,0.0
lbfgs,27,0.032571859657764435,0.00238517252728343,0.004438862204551697,0.02920558676123619,0.03524889051914215,0.0017591748619452119,-0.057771388441324234,0.0,0.1031050980091095,4.634317883756012e-05,0.00018208762048743665,0.0,0.0,0.0,0.0
lbfgs,28,0.032571859657764435,0.00238517252728343,0.004438862204551697,0.02920558676123619,0.03524889051914215,0.0017591748619452119,-0.057771388441324234,0.0,0.1031050980091095,4.634317883756012e-05,0.00018208762048743665,0.0,0.0,0.0,0.0
lbfgs,29,0.032571859657764435,0.00238517252728343,0.004438862204551697,0.02920558676123619,0.03524889051914215,0.0017591748619452119,-0.057771388441324234,0.0,0.1031050980091095,4.634317883756012e-05,0.00018208762048743665,0.0,0.0,0.0,0.0
lbfgs,30,0.032571859657764435,0.00238517252728343,0.004438862204551697,0.02920558676123619,0.03524889051914215,0.0017591748619452119,-0.057771388441324234,0.0,0.1031050980091095,4.634317883756012e-05,0.00018208762048743665,0.0,0.0,0.0,0.0
